id,brand,model,operating system,external memory,internal memory,main camera,selfi camera,battery,screen size,weight,popularity,price,release date
0,Samsung,Galaxy S6,Android,32,3,16,5.0,2600,5.1,132,69,141,2015-03-01
1,Apple,iPhone 5S 16GB,iOS,16,1,8,1.2,1570,4.0,112,63,187,2013-09-01
2,Apple,iPhone 5S 32GB,iOS,32,1,8,1.2,1570,4.0,112,42,148,2013-09-01
3,Samsung,Galaxy S7 Edge,Android,32,4,12,5.0,3600,5.5,157,49,237,2016-02-01
4,Samsung,Galaxy S7,Android,32,4,12,5.0,3000,5.1,152,55,311,2016-04-01
5,HUAWEI,P8,Android,16,2,13,8.0,2200,5.0,131,19,139,2015-09-01
6,OnePlus,3T,OxygenOS,64,6,16,8.0,3000,5.5,158,75,234,2016-12-01
7,Lenovo,K5,Android,64,3,13,8.0,3000,5.7,160,59,151,2019-02-01
8,Apple,iPhone 6,iOS,16,1,8,1.2,1810,4.7,129,48,170,2014-09-01
9,Apple,iPhone 5C,iOS,8,1,8,1.2,1510,4.0,132,51,97,2014-04-01
10,Apple,iPhone 7 32GB ,iOS,32,2,12,7.0,1960,4.7,138,95,382,2016-09-01
11,Apple,iPhone 7 128GB ,iOS,128,2,12,7.0,1960,4.7,138,91,473,2016-09-01
12,Apple,iPhone 7 256GB,iOS,256,2,12,7.0,1960,4.7,138,28,497,2016-09-01
13,Apple,iPhone 6s 16GB,iOS,16,2,12,5.0,1715,4.7,143,52,207,2015-09-01
14,Apple,iPhone 6s 64GB,iOS,64,2,12,5.0,1715,4.7,143,56,362,2015-09-01
15,Apple,iPhone 6s 128GB,iOS,128,2,12,5.0,1715,4.7,143,32,275,2015-09-01
16,Samsung,Galaxy S6 Edge,Android,32,3,16,5.0,2600,5.1,132,26,180,2015-03-01
17,Apple,iPhone SE ,iOS,16,2,12,1.2,1624,4.0,113,69,249,2016-03-01
18,Motorola,Moto X,Android,16,2,13,2.0,2300,5.2,144,0,139,2014-09-01
19,Sony,Xperia Z ,Android,16,2,13,2.2,2330,5.0,146,41,82,2013-01-01
20,Apple,iPhone 6 Plus,iOS,64,1,8,1.2,2915,5.5,172,27,235,2014-09-01
21,Apple,iPhone 7 Plus,iOS,128,3,12,7.0,2900,5.5,188,90,578,2016-09-01
22,Sony,Xperia Z5,Android,32,3,23,5.1,2900,5.2,154,46,209,2015-09-01
23,Xiaomi,Mi Max,Android,128,4,16,5.0,4850,6.44,203,32,159,2017-06-01
24,ASUS,Zenfone 5 ,Android,64,4,12,8.0,3300,6.2,165,72,226,2018-03-01
25,Motorola,Nexus 6,Android,32,3,13,2.0,3220,5.96,184,27,155,2015-01-01
26,Nokia,Lumia 925,WindowsPhone,16,1,8,1.3,2000,4.5,139,14,104,2013-07-01
27,Nokia,800,KaiOS,4,1,2,0.0,2100,2.4,161,45,128,2020-01-01
28,LG,G6,Android,64,4,13,3.0,3300,5.7,165,52,154,2017-03-01
29,Motorola,Moto Z Play,Android,32,3,16,5.0,3510,5.5,165,26,209,2017-07-01
30,Sony,Xperia Z ,Android,16,2,13,2.2,2330,5.0,152,41,82,2013-01-01
31,HUAWEI,Y6,Android,16,2,13,5.0,4000,5.0,160,33,107,2016-03-01
32,Xiaomi,Mi5,Android,32,3,16,4.0,3000,5.15,129,41,163,2016-02-01
33,Google,Pixel,Android,32,4,12,8.0,2770,5.0,143,48,189,2016-10-01
34,Google,Pixel XL,Android,128,4,12,8.0,3450,5.5,168,36,235,2016-10-01
35,Samsung,Galaxy S8 ,Android,64,4,12,8.0,3000,5.8,155,74,314,2017-03-01
36,Samsung,Galaxy S8+ ,Android,64,4,12,8.0,3500,6.2,173,71,431,2017-03-01
37,Xiaomi,Redmi Note 4,Android,32,3,13,5.0,4100,5.5,165,77,107,2017-02-01
38,LG,G3,Android,32,2,13,2.1,3000,5.5,149,40,115,2014-05-01
39,Motorola,Droid 2,Android,32,3,21,5.0,3760,5.4,170,21,223,2015-12-01
