id,country,lang,last_rate
0,de,de,2017-05-26
1,it,it,2017-03-04
2,es,es,2016-10-30
3,de,de,2017-05-26
4,es,es,2016-01-04
5,nl,nl,2016-02-24
6,it,it,2016-12-13
7,it,it,2017-04-29
8,it,it,2017-01-06
9,de,de,2017-04-06
10,es,es,2017-03-11
11,de,de,2017-02-21
12,it,it,2017-01-29
13,it,it,2017-01-03
14,de,de,2017-01-27
15,fr,fr,2017-05-01
16,de,de,2017-03-29
17,es,es,2016-09-14
18,pl,pl,2016-08-16
19,de,de,2016-10-24
20,de,de,2017-04-29
21,nl,nl,2017-05-02
22,it,it,2016-09-05
23,nl,nl,2016-06-10
24,be,nl,2016-09-17
25,de,de,2017-05-08
26,es,es,2017-03-28
27,es,es,2016-04-14
28,es,es,2016-07-28
29,es,es,2017-05-12
30,dk,da,2017-04-29
31,it,it,2017-02-05
32,nl,nl,2017-05-08
33,de,de,2017-03-21
34,nl,nl,2016-07-28
35,it,it,2017-03-11
36,nl,nl,2017-04-27
37,it,it,2017-05-04
38,it,it,2016-12-21
39,es,es,2017-01-28
40,br,pt,2017-04-25
41,it,it,2017-05-04
42,de,de,2016-11-28
43,cz,cs,2015-12-03
44,es,es,2017-03-21
45,it,it,2016-07-25
46,nl,nl,2017-05-07
47,it,it,2017-03-16
48,fi,fi,2016-09-20
49,es,es,2016-11-30
50,de,de,2017-04-17
51,es,es,2016-10-20
52,it,it,2017-03-18
53,it,it,2017-03-25
54,it,it,2016-09-22
55,de,de,2017-05-10
56,de,de,2017-05-26
57,it,it,2017-03-24
58,de,de,2017-02-14
59,it,it,2017-01-08
60,it,it,2016-06-13
61,es,es,2017-03-29
62,be,nl,2017-04-15
63,nl,nl,2017-05-06
64,de,de,2017-05-06
65,de,de,2017-04-21
66,nl,nl,2017-04-21
67,it,it,2017-01-19
68,de,de,2017-03-21
69,it,it,2016-06-17
70,es,es,2016-10-13
71,fr,fr,2017-02-08
72,it,it,2017-04-30
73,fr,fr,2017-01-11
74,fr,fr,2016-03-28
75,fr,fr,2016-11-15
76,fr,fr,2016-09-29
77,fr,fr,2017-02-07
78,nl,nl,2016-12-19
79,es,es,2016-12-11
80,fr,fr,2017-04-14
81,nl,nl,2017-01-05
82,it,it,2016-11-02
83,de,de,2016-11-03
84,de,de,2017-01-06
85,nl,nl,2017-03-07
86,nl,nl,2017-04-23
87,de,de,2017-04-27
88,nl,nl,2017-01-11
89,de,de,2016-12-18
90,it,it,2016-11-23
91,it,it,2017-01-24
92,nl,nl,2017-05-03
93,nl,nl,2017-02-20
94,pl,pl,2017-03-12
95,fr,fr,2016-03-22
96,de,de,2017-01-18
97,nl,nl,2016-12-17
98,nl,nl,2017-03-01
99,nl,nl,2017-04-22
100,se,sv,2017-05-03
101,es,es,2017-03-27
102,es,es,2016-04-13
103,de,de,2017-04-25
104,it,it,2017-01-10
105,nl,nl,2017-04-28
106,ru,ru,2017-01-03
107,it,it,2017-01-25
108,it,it,2017-01-22
109,us,en,2016-04-01
110,us,en,2016-05-11
111,ca,en,2017-02-01
112,it,it,2017-05-06
113,de,de,2017-04-21
114,ca,en,2017-04-16
115,in,en,2017-04-29
116,gb,en,2017-04-05
117,us,en,2017-04-30
118,us,en,2016-09-28
119,gb,en,2017-05-01
120,ca,en,2017-05-03
121,it,it,2016-12-14
122,br,pt,2017-01-23
123,ru,ru,2017-05-07
124,ru,ru,2017-05-03
125,ru,ru,2017-05-03
126,ru,ru,2017-05-05
127,ru,ru,2017-01-06
128,ru,ru,2017-03-31
129,ru,ru,2016-12-12
130,ru,ru,2017-05-03
131,ru,ru,2017-05-07
132,ru,ru,2016-12-12
133,ru,ru,2016-12-12
134,ru,ru,2016-12-12
135,ru,ru,2017-05-03
136,ru,ru,2017-01-03
137,ru,ru,2016-12-12
138,ru,ru,2016-12-12
139,ru,ru,2016-12-12
140,ru,ru,2016-12-12
141,ru,ru,2016-12-12
142,ru,ru,2017-04-30
143,ru,ru,2017-05-07
144,ru,ru,2017-05-07
145,it,it,2017-03-05
146,it,it,2017-01-13
147,it,it,2017-02-12
148,de,de,2017-01-25
149,ca,en,2017-02-09
150,us,en,2017-05-03
151,gb,en,2016-05-04
152,us,en,2017-04-30
153,us,en,2016-04-20
154,gb,en,2016-03-08
155,ca,en,2017-03-01
156,us,en,2016-09-07
157,ca,en,2017-04-25
158,us,en,2017-05-03
159,us,en,2017-02-22
160,us,en,2016-06-13
161,us,en,2016-03-18
162,br,pt,2017-02-26
163,be,nl,2017-04-26
164,de,de,2016-09-06
165,br,pt,2017-03-24
166,it,it,2017-02-10
167,es,es,2016-10-29
168,de,de,2017-05-05
169,it,it,2017-03-09
170,de,de,2017-04-13
171,it,it,2017-05-03
172,it,it,2017-03-24
173,es,es,2016-04-29
174,it,it,2017-03-20
175,es,es,2017-05-14
176,es,es,2017-05-08
177,br,pt,2017-04-11
178,nl,nl,2017-05-08
179,br,pt,2017-02-08
180,it,it,2017-03-12
181,it,it,2017-04-16
182,br,pt,2017-05-08
183,ru,ru,2016-12-12
184,be,nl,2017-04-15
185,be,nl,2017-02-01
186,it,it,2017-05-03
187,pl,pl,2016-11-02
188,de,de,2017-03-15
189,pl,pl,2016-10-18
190,de,de,2017-04-29
191,ru,ru,2017-01-26
192,ru,ru,2016-12-12
193,ru,ru,2016-12-12
194,ru,ru,2016-12-12
195,it,it,2016-11-13
196,de,de,2016-11-12
197,it,it,2017-03-31
198,fr,fr,2016-10-08
199,br,pt,2017-04-03
200,it,it,2017-04-21
201,de,de,2017-03-18
202,it,it,2016-09-06
203,nl,nl,2017-01-12
204,de,de,2017-03-04
205,fr,fr,2017-02-20
206,de,de,2016-06-03
207,de,de,2017-03-20
208,fr,fr,2017-03-22
209,fr,fr,2016-12-01
210,nl,nl,2017-04-04
211,cz,cs,2015-10-21
212,es,es,2016-10-16
213,es,es,2016-11-09
214,es,es,2017-01-29
215,de,de,2016-10-15
216,br,pt,2017-01-06
217,es,es,2016-10-30
218,it,it,2016-12-01
219,es,es,2016-11-07
220,es,es,2017-01-15
221,es,es,2017-04-10
222,fr,fr,2017-01-25
223,fr,fr,2015-11-27
224,it,it,2017-01-26
225,it,it,2016-12-24
226,nl,nl,2017-04-25
227,es,es,2017-01-16
228,es,es,2016-10-26
229,es,es,2016-04-10
230,es,es,2017-04-03
231,ru,ru,2016-12-26
232,es,es,2017-05-03
233,de,de,2016-12-09
234,ru,ru,2016-10-29
235,de,de,2017-05-06
236,br,pt,2016-06-28
237,de,de,2017-04-09
238,es,es,2016-11-02
239,es,es,2016-10-29
240,nl,nl,2017-01-05
241,ru,ru,2017-05-07
242,nl,nl,2017-03-22
243,nl,nl,2016-10-29
244,es,es,2015-09-13
245,es,es,2017-04-26
246,es,es,2017-05-06
247,es,es,2016-09-28
248,us,en,2016-04-25
249,ca,en,2017-03-21
250,in,en,2017-02-07
251,us,en,2017-02-27
252,gb,en,2016-12-02
253,us,en,2016-12-25
254,us,en,2016-10-28
255,gb,en,2017-03-02
256,in,en,2016-08-09
257,gb,en,2016-02-03
258,us,en,2017-02-07
259,us,en,2017-01-05
260,in,en,2016-08-31
261,us,en,2016-10-22
262,us,en,2017-02-06
263,us,en,2016-10-13
264,us,en,2016-11-01
265,us,en,2016-08-13
266,us,en,2016-10-26
267,us,en,2016-04-24
268,us,en,2017-02-16
269,us,en,2016-04-25
270,us,en,2016-04-26
271,us,en,2016-04-09
272,in,en,2017-01-03
273,in,en,2017-05-05
274,in,en,2017-02-10
275,us,en,2016-04-14
276,us,en,2016-10-14
277,us,en,2017-03-07
278,us,en,2017-02-04
279,gb,en,2017-05-04
280,gb,en,2016-12-03
281,us,en,2017-05-08
282,us,en,2017-01-05
283,us,en,2016-02-29
284,gb,en,2016-10-16
285,gb,en,2017-04-15
286,gb,en,2017-01-04
287,us,en,2017-03-14
288,us,en,2017-05-08
289,us,en,2017-05-06
290,gb,en,2017-05-06
291,gb,en,2016-07-04
292,us,en,2017-02-20
293,ca,en,2017-01-18
294,us,en,2016-10-30
295,in,en,2017-02-19
296,us,en,2017-01-12
297,us,en,2017-05-02
298,us,en,2017-02-01
299,us,en,2016-12-05
300,in,en,2017-02-04
301,us,en,2017-02-11
302,in,en,2016-10-26
303,in,en,2017-02-07
304,us,en,2016-12-25
305,gb,en,2016-10-31
306,in,en,2017-02-07
307,in,en,2017-02-07
