gender,age,occupation_code,zip,last_rate
1,0,10,2460,2001-01-07 01:39:11
0,2,15,1650,2000-12-31 23:35:04
0,4,7,936,2000-12-31 22:24:42
1,5,9,1650,2000-12-31 07:03:39
0,3,1,1156,2000-12-31 05:54:58
0,2,12,1846,2000-12-31 01:51:13
0,3,0,2145,2000-12-30 20:35:17
1,3,0,3179,2000-12-30 13:13:15
0,2,14,1511,2001-12-30 01:40:27
0,1,16,1907,2000-12-30 03:25:40
0,1,4,701,2001-01-01 23:57:45
0,2,11,2793,2000-12-30 00:48:12
1,3,7,2902,2000-12-29 22:36:23
1,2,0,1648,2000-12-29 23:47:56
1,2,9,530,2000-12-29 04:35:58
0,1,4,30,2000-12-29 01:00:02
0,4,0,2413,2000-12-29 00:09:58
1,1,4,2386,2000-12-29 00:13:02
0,2,12,2663,2000-12-28 20:05:08
0,1,19,834,2000-12-28 06:58:07
0,1,4,1498,2000-12-28 06:46:14
1,2,2,3051,2000-12-28 01:55:07
1,0,10,1335,2000-12-27 22:13:31
0,1,4,592,2000-12-27 22:21:15
0,5,1,867,2000-12-27 21:21:29
1,3,12,217,2000-12-27 22:20:35
0,3,20,931,2000-12-27 19:58:47
0,1,19,2388,2000-12-27 18:55:32
0,5,1,987,2000-12-27 17:53:10
0,2,17,3182,2000-12-27 09:50:56
0,1,4,1675,2001-01-21 23:10:57
0,1,1,1804,2000-12-27 06:54:12
0,2,18,2748,2000-12-27 05:14:46
1,5,5,3047,2000-12-27 05:18:46
0,1,4,1804,2001-06-01 09:16:59
1,2,1,3387,2000-12-27 04:00:27
0,1,4,460,2000-12-27 02:52:28
0,2,14,1625,2000-12-27 02:14:39
1,4,0,2045,2000-12-27 00:25:38
0,3,14,1153,2001-06-24 02:35:49
0,3,7,357,2001-05-05 22:55:38
0,1,4,1966,2000-12-26 09:04:58
1,4,0,2924,2000-12-26 06:48:00
0,6,1,1244,2001-06-29 05:05:30
1,2,0,407,2000-12-26 01:24:54
1,2,2,684,2000-12-25 07:13:38
0,1,4,2961,2000-12-25 06:18:35
0,1,4,1869,2001-06-12 08:57:30
1,0,10,344,2001-02-28 02:25:53
0,2,14,1938,2000-12-25 20:19:18
1,4,1,1073,2000-12-25 00:23:38
1,6,9,633,2001-07-01 07:56:08
0,3,7,531,2000-12-24 16:04:35
0,2,17,980,2000-12-24 05:31:40
0,4,0,2201,2000-12-24 05:45:37
1,2,16,541,2001-01-27 05:14:04
1,3,7,1191,2000-12-24 03:03:43
0,3,17,2903,2000-12-23 20:09:23
0,2,12,1613,2002-03-13 23:43:01
0,4,12,1118,2000-12-23 06:06:03
1,3,11,1155,2000-12-23 03:52:44
0,2,12,1023,2000-12-23 01:33:35
0,4,15,3169,2000-12-23 01:38:16
0,2,2,2010,2000-12-22 22:03:26
0,3,15,2711,2000-12-22 21:25:12
0,2,16,1263,2000-12-22 20:12:36
0,1,12,841,2000-12-22 19:49:49
1,2,2,1459,2001-01-25 00:11:13
0,2,17,1491,2000-12-22 18:20:18
0,2,17,2325,2001-08-10 16:06:52
0,2,11,384,2000-12-30 06:18:29
0,3,7,1644,2000-12-22 06:28:42
1,1,4,1498,2001-06-25 08:18:23
0,6,7,2319,2001-03-04 19:33:35
0,4,14,459,2000-12-22 23:11:07
0,1,9,2545,2000-12-22 02:35:55
0,6,6,733,2000-12-21 23:34:58
0,2,17,1261,2000-12-21 22:09:53
0,1,4,919,2000-12-21 18:46:00
0,1,20,2236,2000-12-21 03:35:02
1,3,1,2759,2001-07-01 04:26:27
0,3,13,1997,2000-12-21 02:14:22
0,2,7,1099,2001-01-27 03:34:51
0,1,3,1286,2000-12-21 00:33:45
0,2,17,1344,2000-12-20 23:11:59
0,1,4,643,2000-12-20 22:55:41
0,1,4,1595,2000-12-20 01:37:26
0,0,10,1760,2001-03-20 04:31:17
0,5,20,1153,2000-12-19 23:14:55
0,3,12,419,2000-12-19 22:23:12
0,6,7,2038,2000-12-19 18:30:17
1,4,0,733,2001-05-16 01:49:19
0,3,7,2427,2002-03-17 18:07:52
1,6,13,1828,2002-09-01 03:14:13
1,2,11,3336,2000-12-19 01:10:54
1,5,0,1157,2000-12-19 00:05:20
0,2,11,1230,2000-12-18 23:08:50
1,5,17,446,2000-12-18 21:18:16
0,2,3,1218,2000-12-18 20:42:58
0,2,16,1003,2000-12-18 16:35:51
1,1,3,2831,2000-12-18 02:35:02
0,5,1,1242,2000-12-18 02:47:01
0,4,12,228,2001-08-12 10:28:16
0,1,4,3095,2000-12-17 22:41:32
1,2,0,1083,2002-12-04 04:55:48
0,4,0,2507,2000-12-17 17:27:32
0,6,16,654,2002-01-19 20:26:23
0,1,0,1458,2000-12-17 06:55:33
0,1,4,1643,2000-12-18 02:26:55
1,0,10,1601,2000-12-17 04:28:09
1,3,9,989,2000-12-17 00:25:40
0,1,14,3148,2000-12-17 06:57:26
1,1,4,2227,2000-12-16 11:16:42
1,3,2,1650,2002-01-13 04:56:25
0,2,17,2516,2000-12-16 01:01:40
0,2,12,1544,2000-12-15 23:59:42
0,3,1,10,2000-12-15 22:23:30
0,4,17,1605,2000-12-15 21:22:25
1,1,4,701,2000-12-15 19:14:57
0,3,14,1069,2001-01-11 03:03:18
0,1,4,1123,2000-12-15 07:05:30
0,3,14,1282,2001-05-21 20:18:04
1,2,4,1511,2000-12-15 02:04:02
1,2,0,208,2000-12-15 01:07:54
0,2,1,1585,2000-12-15 01:05:07
0,3,1,2003,2000-12-14 23:53:38
0,3,20,703,2000-12-14 23:44:43
0,2,15,1428,2001-06-21 22:08:45
0,2,3,1428,2003-01-23 06:10:45
0,2,20,2764,2000-12-14 18:56:33
1,4,20,1071,2000-12-14 13:56:32
0,3,7,2486,2001-01-12 05:47:03
0,2,5,1469,2000-12-14 05:59:01
0,1,19,3129,2003-01-13 20:46:09
0,3,20,2057,2000-12-14 02:37:37
0,2,16,2204,2000-12-14 01:29:04
0,5,7,2948,2000-12-14 16:32:55
1,1,4,728,2000-12-13 19:31:58
0,2,17,577,2000-12-13 19:29:34
0,1,17,1121,2001-01-02 06:32:55
0,3,16,2446,2000-12-13 18:23:29
0,6,17,2721,2000-12-18 19:56:50
0,2,12,3197,2000-12-13 08:33:33
1,2,11,2380,2000-12-17 00:34:49
0,3,17,22,2000-12-13 06:37:43
0,4,16,3206,2000-12-13 05:33:50
0,1,18,1511,2000-12-13 04:11:54
1,2,7,3052,2000-12-12 22:22:49
1,3,7,1585,2000-12-12 21:27:21
0,3,11,1644,2000-12-12 20:56:26
0,2,2,2764,2000-12-18 03:17:44
0,2,0,3277,2000-12-12 05:48:47
0,4,16,2192,2000-12-12 04:49:34
1,3,1,704,2000-12-12 04:15:10
0,2,14,615,2001-11-05 02:13:35
0,5,7,663,2000-12-12 00:53:08
0,2,17,1507,2000-12-12 00:00:19
0,2,0,2870,2000-12-11 23:35:06
0,2,1,326,2000-12-12 06:44:59
