id,Title,Year,Age rate,Release date,Genre,Animation,Family,Romance,nan,Documentary,Action,Music,Horror,Comedy,Adventure,History,War,Short,Film-Noir,Adult,Crime,Drama,Thriller,Mystery,Sport,Musical,Sci-Fi,Biography,Fantasy,Western
1,Toy Story,1995,G,22 Nov 1995,"Animation, Adventure, Comedy",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Jumanji,1995,PG,15 Dec 1995,"Adventure, Family, Fantasy",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,Grumpier Old Men,1995,PG-13,22 Dec 1995,"Comedy, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Waiting to Exhale,1995,R,22 Dec 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,Father of the Bride Part II,1995,PG,08 Dec 1995,"Comedy, Family, Romance",False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Heat,1995,R,15 Dec 1995,"Crime, Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
7,Sabrina,1995,PG,15 Dec 1995,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,Tom and Huck,1995,PG,22 Dec 1995,"Adventure, Comedy, Drama",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9,Sudden Death,1995,R,22 Dec 1995,"Action, Crime, Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
10,GoldenEye,1995,PG-13,17 Nov 1995,"Action, Adventure, Thriller",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11,The American President,1995,PG-13,17 Nov 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,Dracula: Dead and Loving It,1995,PG-13,22 Dec 1995,"Comedy, Fantasy, Horror",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,Balto,1995,G,22 Dec 1995,"Animation, Adventure, Drama",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,Nixon,1995,R,05 Jan 1996,"Biography, Drama, History",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
15,Cutthroat Island,1995,PG-13,22 Dec 1995,"Action, Adventure, Comedy",False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Casino,1995,R,22 Nov 1995,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
17,Sense and Sensibility,1995,PG,26 Jan 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,Four Rooms,1995,R,25 Dec 1995,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Ace Ventura: When Nature Calls,1995,PG-13,22 Dec 1995,"Adventure, Comedy, Crime",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,Money Train,1995,R,22 Nov 1995,"Action, Comedy, Crime",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,Get Shorty,1995,R,20 Oct 1995,"Comedy, Crime, Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
22,Copycat,1995,R,27 Oct 1995,"Drama, Mystery, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
23,Assassins,1995,R,06 Oct 1995,"Action, Crime, Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
24,Powder,1995,PG-13,27 Oct 1995,"Drama, Fantasy, Mystery",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
25,Leaving Las Vegas,1995,R,09 Feb 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,Othello,1995,R,19 Jan 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
