id,gender,age,occupation_code,zip,last_rate
4,M,45,7,02460,2000-12-31 22:24:42
12,M,25,12,32793,2000-12-31 01:51:13
20,M,25,14,55113,2001-12-30 01:40:27
21,M,18,16,99353,2000-12-30 03:25:40
43,M,25,12,60614,2000-12-28 20:05:08
47,M,18,4,94305,2000-12-28 06:46:14
89,F,56,9,85749,2001-07-01 07:56:08
94,M,25,17,28601,2000-12-24 05:31:40
98,F,35,7,33547,2000-12-24 03:03:43
124,M,56,7,91356,2001-03-04 19:33:35
128,M,56,6,37922,2000-12-21 23:34:58
141,M,35,13,62035,2000-12-21 02:14:22
152,M,18,4,48104,2000-12-20 01:37:26
158,M,56,7,28754,2000-12-19 18:30:17
160,M,35,7,13021,2002-03-17 18:07:52
171,F,50,17,55441,2000-12-18 21:18:16
172,M,25,3,07661,2000-12-18 20:42:58
197,M,18,14,10023,2000-12-17 06:57:26
207,M,25,12,94115,2000-12-15 23:59:42
213,F,18,4,01609,2000-12-15 19:14:57
217,M,18,4,22903,2000-12-15 07:05:30
226,M,35,1,94518,2000-12-14 23:53:38
250,M,35,16,11229,2000-12-13 18:23:29
254,M,35,17,49015,2000-12-13 06:37:43
276,M,45,16,01982,2000-12-12 04:49:34
277,F,35,1,98126,2000-12-12 04:15:10
311,M,18,4,31201,2001-12-22 02:02:00
315,F,56,1,55105,2000-12-10 18:35:10
317,M,35,7,38555,2000-12-10 17:19:31
318,F,56,13,55104,2000-12-10 07:44:34
320,M,35,6,99516,2000-12-10 05:26:22
341,F,56,13,92119,2000-12-09 07:31:50
353,F,35,7,92625,2000-12-09 04:40:01
356,M,56,20,55101,2001-01-16 12:38:06
383,F,25,7,78757,2000-12-08 22:11:29
384,M,25,11,55075,2000-12-08 20:35:39
395,M,18,5,55104,2000-12-08 20:14:58
417,F,25,0,50613,2000-12-08 16:27:05
421,F,45,3,55125,2000-12-08 15:40:36
448,M,25,17,80123,2000-12-08 02:32:04
489,M,18,4,55455,2000-12-07 20:50:21
497,F,25,17,55412,2000-12-07 20:40:57
502,M,35,6,55126,2000-12-07 19:42:03
535,M,35,6,95370,2000-12-06 23:44:13
559,F,25,7,60422,2000-12-05 22:10:42
572,M,18,4,61801,2000-12-05 08:08:27
574,M,25,19,90214,2000-12-05 06:41:21
592,M,18,0,92103,2000-12-04 06:12:10
600,M,35,17,66209,2000-12-29 04:23:29
617,F,25,7,92117,2000-12-03 02:01:08
619,F,18,1,94706,2000-12-03 01:50:52
640,M,18,4,47406,2000-12-02 05:03:38
653,M,56,13,92660,2000-12-01 21:59:22
665,M,18,2,13317,2000-12-01 06:42:21
703,F,56,1,44074,2000-11-30 03:45:06
708,M,25,0,37042,2000-11-30 01:59:25
723,M,25,12,98027,2000-11-29 21:11:39
761,M,18,7,99945,2000-11-29 00:43:33
775,M,1,17,56258,2000-11-28 20:58:17
782,M,56,1,28223,2000-11-28 19:28:33
790,M,25,17,45694,2000-11-28 18:28:20
821,M,18,2,14456,2000-11-28 05:32:19
827,M,45,2,55409,2001-11-06 02:35:31
833,M,35,7,46825,2000-11-28 00:23:27
898,M,25,7,77005,2000-11-26 07:51:13
906,M,1,10,71106,2000-11-26 05:34:38
907,F,45,6,92117,2000-11-26 05:06:29
932,F,35,6,97838,2000-11-25 23:21:13
947,M,18,0,21015,2000-11-25 13:35:44
951,M,45,2,10009,2000-11-25 09:38:57
986,F,56,0,19004,2000-11-28 06:15:41
1070,F,45,2,20036,2000-11-23 03:12:13
1126,M,56,16,13031,2000-11-22 17:27:17
1144,M,25,7,94025,2000-11-22 08:47:24
1154,F,1,10,53545,2000-11-22 06:16:20
1157,M,45,7,30253,2000-11-22 06:13:01
1174,F,18,16,91780,2000-11-22 04:00:03
1197,M,35,1,44077,2000-11-22 00:55:04
1213,M,50,0,91505,2001-01-05 03:27:49
1226,M,18,20,07087,2000-11-21 22:04:06
1234,M,18,4,91006,2000-11-21 23:41:41
1236,F,25,1,48316,2000-11-21 21:01:47
1250,M,50,0,10573,2000-11-28 05:06:56
1282,M,50,1,98541,2000-11-21 09:44:47
1305,M,45,20,94121,2000-11-21 07:39:38
1307,M,56,13,75703,2000-11-21 07:33:42
1309,M,25,14,76051,2000-11-21 07:07:24
1310,M,45,0,92866,2000-11-21 06:46:41
1318,M,18,16,94014,2000-11-21 06:03:44
1336,F,50,20,95051,2000-12-25 07:13:06
1351,F,25,17,98034,2000-11-21 04:05:06
1363,M,50,7,01915,2000-11-21 03:22:41
1384,M,18,10,98058,2000-12-01 05:44:11
1385,F,25,5,90262,2000-11-21 02:21:55
1406,M,25,4,91911,2000-11-21 01:33:43
1412,M,25,17,94089,2000-11-21 02:07:07
1416,M,25,14,98101,2000-11-26 10:02:19
1429,F,35,3,11229,2000-11-21 00:22:19
1431,M,56,6,91011,2000-11-21 00:25:00
1452,F,56,13,90732,2000-11-20 23:47:45
1454,M,18,4,93117,2000-11-20 23:53:01
1456,M,25,2,98074,2000-11-20 23:49:03
1459,F,25,0,80027,2000-11-21 23:33:00
1485,F,25,9,80538,2000-11-20 22:25:56
1488,M,25,7,94538,2000-11-20 23:06:08
1493,F,25,14,60657,2000-11-20 21:47:56
1515,M,25,16,48324,2000-11-22 06:09:37
1520,M,25,17,94506,2000-11-20 20:50:03
1534,M,50,12,12184,2000-11-20 21:07:48
1549,M,35,6,20901,2000-11-20 19:39:17
1566,M,35,16,77550,2000-11-20 19:00:31
1582,M,18,0,10705,2000-11-20 18:19:02
1596,F,18,5,48108,2000-11-20 20:33:06
1604,M,25,11,50111,2000-11-20 16:40:49
1612,M,25,17,11354,2000-11-20 16:21:32
1615,F,45,7,10022,2000-11-20 16:06:59
1621,M,25,4,11423,2000-11-20 15:30:01
1664,F,18,4,76707,2000-11-20 11:00:55
1674,M,35,2,95816,2000-11-20 10:41:45
1708,M,25,0,64106,2000-11-20 09:44:03
1713,M,25,0,47421,2000-11-20 09:36:51
1730,F,18,4,60137,2000-11-20 09:21:32
1751,M,35,20,77024,2000-11-20 08:45:06
1771,M,25,17,75044,2000-11-20 08:21:44
1783,M,18,4,10027,2000-11-20 08:20:17
1801,F,25,6,54729,2000-11-20 07:42:35
1813,F,35,6,90035,2000-11-29 06:06:14
1840,M,25,12,11217,2000-11-20 07:42:00
1844,F,18,4,53711,2000-11-20 07:24:22
1848,M,35,5,10011,2000-11-20 07:09:59
1849,M,35,7,11747,2000-11-20 06:59:02
1864,M,35,7,94306,2000-11-20 06:46:06
1892,M,25,20,90066,2000-11-20 05:48:45
1907,M,35,17,94804,2000-11-20 05:42:48
1914,F,35,14,95051,2000-11-20 05:48:20
1918,F,45,6,95209,2000-11-20 05:49:37
1927,M,35,7,94806,2000-11-20 05:21:22
1964,F,25,6,89523,2000-11-20 04:21:10
1967,M,50,7,92116,2000-11-22 17:39:15
1986,M,50,13,91977,2000-11-20 03:29:23
1991,M,25,20,48309,2000-11-20 03:00:11
1993,M,35,17,99508,2000-11-20 02:59:10
2037,M,56,14,02468,2000-11-19 23:13:03
2061,M,56,1,44107,2000-11-19 20:47:26
2108,M,1,10,60462,2000-11-19 18:44:45
2111,M,56,13,32806,2002-03-02 17:59:51
2128,F,45,1,46737,2000-11-19 16:11:15
2133,F,1,10,01607,2000-11-19 16:04:21
2152,M,18,4,22807,2000-11-19 09:54:22
2160,F,18,19,46556,2000-11-19 09:03:28
2182,F,25,4,60443,2000-11-19 06:25:10
2207,M,18,4,07508,2000-11-19 05:06:07
2209,M,35,7,10011,2000-11-19 05:09:30
2234,M,56,1,85718,2000-11-19 03:14:49
2252,F,18,1,01562,2000-11-19 02:47:07
2268,F,35,1,46774,2000-11-18 22:10:23
2292,M,50,15,13039,2000-11-18 04:33:18
2295,M,45,11,72316,2000-11-18 02:51:25
2311,F,25,4,22902,2000-11-17 20:05:40
2336,M,35,18,13146,2000-11-17 03:07:22
2339,F,56,3,52003,2000-11-17 02:49:24
2345,M,35,16,98031,2000-11-17 00:20:46
2347,M,35,1,48116,2000-11-16 23:51:58
2356,F,50,16,13207,2000-11-16 16:47:41
2373,M,45,7,94109,2000-11-16 02:55:18
2381,F,35,9,13066,2000-11-16 00:25:13
2385,F,45,2,01545,2000-11-15 19:42:56
2388,M,56,5,06082,2000-11-15 17:50:40
2399,M,35,17,11355,2000-11-15 07:35:18
2422,F,50,9,02865,2000-11-14 23:41:25
2434,M,25,4,22901,2000-11-14 20:05:25
2440,M,50,17,01430,2000-11-14 19:12:11
2467,M,1,10,44224,2000-11-14 02:35:40
2470,M,35,18,52001,2000-11-14 01:28:58
2488,F,45,2,31804,2000-11-13 21:20:10
2490,M,25,12,94703,2000-11-13 20:09:15
2502,M,56,13,49423,2000-11-13 05:30:03
2516,F,45,6,37909,2000-11-13 01:12:17
