user_id,age,gender,occupation
0,36,Female,MANAGER
1,31,Female,Sales Manager
2,42,Male,manager
3,42,Male,HEALTH CARE
4,36,Female,MANAGER
5,33,Male,healthcare
6,25,Male,software developer
7,66,Female,Software Developer
8,30,Male,financially
9,28,Male,freelancer
10,30,Male,FINANCIAL
11,38,Female,banking
12,37,Male,Law Enforcement
13,34,Female,technician
14,38,Female,customer service representative
15,37,Male,Administrative officer
16,25,Female,architect
17,46,Male,Administrative officer
18,67,Male,Unemployed
19,35,Female,Customer call center rep
20,26,Male,marketing manager
21,53,Male,Information Technology
22,63,Female,Information Technology
23,27,Female,Phlebotomists
24,39,Female,master degree
25,33,Male,Cashier
26,35,Male,MANAGER
27,41,Female,medical transcription supervisor
28,32,Male,Manager
29,41,Male,labourer
30,54,Female,Manager
31,61,Female,adminstrator
32,24,Female,software
33,72,Male,Portfolio Manager VP
34,35,Female,WAITER
35,48,Male,manager
36,27,Male,CUSTER CARE
37,36,Male,QA Engineer
38,44,Male,IT
39,30,Female,SELF EMPLOYE
40,39,Male,Data analyst
41,55,Female,manager
42,43,Male,administrative officer
43,30,Male,manager
44,39,Male,Sales Officer
45,36,Male,MANAGER
46,34,Male,health hear
47,36,Female,MANAGER
48,33,Male,HEALTHCARE
49,37,Male,healthcare
50,45,Female,Healthcare Assistant
51,36,Male,HEALTHCARE
52,35,Male,healthcare
53,33,Male,Manager
54,50,Male,health hear
55,35,Male,HEALLTHCARE
56,35,Female,Sales Supervisor
57,34,Male,health hear
58,25,Male,Systerm work
59,38,Male,trainer
60,34,Male,health hear
61,31,Female,manager
62,33,Male,HEALTHCARE
63,41,Female,MANAGER
64,25,Male,Manager
65,26,Male,marketing manager
66,42,Female,MANAGER
67,27,Male,retail
68,33,Male,Education
69,27,Female,Nurse
70,30,Male,IT
71,34,Male,Pest Management
72,30,Male,IT
73,30,Male,IT
74,32,Male,information technology
75,47,Female,Manager
76,62,Male,Manager
77,29,Female,ASSISTANT MANAGER
78,32,Female,developer
79,45,Male,IT
80,68,Female,finance officer
81,36,Female,business
82,30,Male,Production supervisor
83,32,Male,manager
84,29,Female,office secretary
85,47,Female,Manager
86,47,Female,Manager
87,62,Male,Manager
88,39,Male,IT
89,47,Male,manufacturing
90,41,Male,IT
91,38,Male,retail
92,35,Female,BANK MANAGER
